Country,Market,Date,Product,Price Min,Price Max,Unit,Change,URL
Poland,Poland – Fresh Market quotations,30.07.2026,leek,Buy access,Poland,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,lemon,Buy access,Spain / Turkey,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,lemon,Buy access,Argentina/South Africa,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,lettuce butterhead,Buy access,Poland,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,lettuce corrugated,Buy access,Poland,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,lettuce iceberg,Buy access,Poland,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,mandarins,Buy access,Spain/Italy/South Africa,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,nectarines,Buy access,Southern Europe,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,onion,Buy access,Poland,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,onion for peeling,Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,onion peeled,Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,oranges,Buy access,Spain/Egypt/South Africa,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,parsley,Buy access,Poland,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,peach,Buy access,Southern Europe,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,pears Conference (collection),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,pears Konferencja,Buy access,Belgium / Netherlands,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,pepper green,Buy access,Poland,kg,-11.1%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,pepper red,Buy access,Poland,kg,-4.2%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,pepper white,Buy access,Poland,kg,-4.8%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,plum (węgierka),Buy access,,kg,-8.3%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,plums (rana/lepotica),Buy access,,kg,-14.3%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,potatoes early,Buy access,Poland,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,potatoes early irga,Buy access,Poland,kg,-2.8%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,raspberries (dessert),Buy access,,kg,+10.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,raspberries (freezing/collection),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,raspberries (industrial/collection),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,red onion,Buy access,Poland,kg,-4.2%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,savoy cabbage,Buy access,Poland,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,strawberries (tłoczenie/skup),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,string beans,Buy access,Poland,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,sweet cherry,Buy access,Poland,kg,-4.2%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,tomato a,Buy access,Poland,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,tomato b,Buy access,Poland,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,tomato bb,Buy access,Poland,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,tomato bbb,Buy access,Poland,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,watermelons,Buy access,Southern Europe/South America,kg,+3.9%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,zucchini,Buy access,Poland,kg,+4.7%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Warsaw (Bronisze),30.07.2026,apple Antonovka,0.84 €,1.19 €,kg,+84.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,apple Cortland,0.63 €,1.05 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,apple Gala,0.52 €,0.73 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,apple Golden delicius,0.52 €,0.79 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,apple Ligol,0.47 €,0.63 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,apple Lobo,0.6 €,0.84 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,apple early geneva,0.63 €,1.15 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,apple empire,0.52 €,0.84 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,apple grey reinette,0.68 €,0.84 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,apple jonagored,0.42 €,0.73 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,apple papierówka,0.63 €,1.05 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,apple paula red,0.84 €,1.19 €,kg,+38.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,apple piros,0.63 €,1.19 €,kg,+8.3%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,apple rubinstar,0.42 €,0.73 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,apple šampion,0.42 €,0.73 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,apricots,1.26 €,2.3 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,aubergines,1.05 €,1.47 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,avocado import,0.63 €,1.26 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,bananas import,0.88 €,1.29 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,beet greens,0.42 €,0.73 €,bunch,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,beetroot,0.19 €,0.27 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,beetroots table early,0.31 €,0.42 €,bunch,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,bilberry wild,7.33 €,7.96 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,blueberries American,2.09 €,4.19 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,broad bean,2.93 €,3.35 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,broccoli,0.84 €,1.05 €,piece,-5.3%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,cabbage red,0.21 €,0.27 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,cabbage white,0.2 €,0.27 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,cabbage white young,0.63 €,0.73 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,carrots,0.27 €,0.42 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,carrots with greens,0.63 €,0.84 €,bunch,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,cauliflower,0.73 €,0.94 €,piece,-11.1%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,celeriac,0.63 €,0.73 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,celeriac early,0.63 €,0.84 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,cherries,1.26 €,1.47 €,kg,-7.1%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,chinese cabbage,0.79 €,0.89 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,chives,0.37 €,0.42 €,bunch,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,courgette,0.63 €,0.84 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,cucumbers field-grown,0.42 €,1.26 €,kg,-11.1%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,cucumbers glasshouse short,0.94 €,1.15 €,kg,-9.1%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,cucumbers in brine,2.3 €,2.51 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,cucurbit,1.05 €,1.26 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,currant black,3.14 €,5.24 €,kg,-16.7%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,currants red,2.09 €,3.14 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,dill,0.46 €,0.56 €,bunch,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,flowers carnations,0.42 €,0.42 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,flowers freesias,0.17 €,0.5 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,flowers gladioli,0.52 €,1.05 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,flowers gypsophila,4.19 €,27.23 €,bunch,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,flowers lilies,1.26 €,2.72 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,flowers lisianthus,0.63 €,1.47 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,flowers peonies,0.42 €,1.68 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,flowers roses,0.84 €,2.51 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,flowers stocks,0.63 €,0.84 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,garlic,0.31 €,0.52 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,glasshouse tomatoes,0.89 €,1.05 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,gooseberry,3.14 €,5.24 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,grapefruits import,1.05 €,5.45 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,grapes dark import,1.68 €,4.19 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,grapes white import,1.68 €,4.19 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,greens,0.29 €,0.42 €,bunch,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,hazelnuts,2.93 €,3.56 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,horseradish,2.93 €,3.35 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,kiwi import,2.09 €,3.98 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,kohlrabi,0.42 €,0.63 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,leeks,0.84 €,1.05 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,leeks early,0.47 €,0.63 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,lemons import,1.05 €,1.47 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,lettuce butterhead,0.47 €,0.84 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,lettuce corrugated,0.63 €,0.84 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,lettuce iceberg,0.94 €,1.26 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,lettuce mix import,5.03 €,5.86 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,low-salt cucumbers,3.14 €,3.77 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,mandarins import,1.05 €,3.14 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,mangoes import,1.68 €,2.51 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,melons import,1.68 €,2.51 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,mint,1.47 €,2.51 €,pot,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,mushrooms,1.88 €,2.51 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,nectarines import,1.26 €,1.88 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,onion white,0.25 €,0.39 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,onion white sugar i garlic,0.84 €,1.47 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,onion white young,0.73 €,1.05 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,oranges import,0.52 €,2.93 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,oyster mushrooms,2.83 €,4.19 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,parsley,0.73 €,1.26 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,parsley young,0.84 €,1.26 €,bunch,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,peach,1.26 €,1.88 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,pears Konferencja,1.05 €,1.36 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,pears import,1.47 €,1.52 €,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,pepper green,0.84 €,1.05 €,kg,-5.3%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,pepper red and yellow,1.26 €,1.88 €,kg,+7.1%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
Poland,Warsaw (Bronisze),30.07.2026,pineapple decorative import,1.05 €,1.88 €,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/bronisze-warsaw
